,N,cost,precision,recall,f1,auc,mcc,gmeans
0,"['on', 0.1, 0.2]",1449.04±8.37,0.79±0.05,0.13±0.03,0.23±0.04,0.44±0.01,0.26±0.03,0.36±0.04
0,"['cs', 0.1, 0.2]",1487.0±7.681,0.74±0.03,0.16±0.0,0.26±0.01,0.43±0.0,0.27±0.01,0.39±0.01
0,"['nn', 0.1, 0.2]",1476.0,0.78,0.16,0.27,0.43,0.29,0.4
0,"['spo', 0.1, 0.2]",1689.0,0.28,0.06,0.1,0.5,0.02,0.24
1,"['on', 0.1, 0.8]",867.58±7.19,0.77±0.07,0.15±0.04,0.24±0.06,0.44±0.02,0.27±0.03,0.38±0.05
1,"['cs', 0.1, 0.8]",890.833±21.49,0.63±0.01,0.56±0.01,0.59±0.01,0.28±0.01,0.47±0.01,0.7±0.01
1,"['nn', 0.1, 0.8]",905.0,0.63,0.54,0.58,0.28,0.46,0.7
1,"['spo', 0.1, 0.8]",1592.0,0.25,0.22,0.23,0.5,0.0,0.41
2,"['on', 0.2, 0.5]",1105.32±15.06,0.78±0.03,0.18±0.02,0.29±0.02,0.42±0.01,0.3±0.01,0.42±0.02
2,"['cs', 0.2, 0.5]",1142.5±22.329,0.67±0.01,0.38±0.01,0.48±0.01,0.34±0.01,0.4±0.01,0.6±0.01
2,"['nn', 0.2, 0.5]",1175.0,0.66,0.36,0.47,0.35,0.38,0.58
2,"['spo', 0.2, 0.5]",1659.0,0.24,0.13,0.17,0.5,-0.01,0.33
3,"['on', 0.6, 1.1]",717.3±6.49,0.66±0.01,0.46±0.01,0.54±0.01,0.31±0.01,0.43±0.01,0.65±0.01
3,"['cs', 0.6, 1.1]",739.667±12.671,0.57±0.01,0.68±0.01,0.62±0.01,0.25±0.0,0.48±0.01,0.75±0.0
3,"['nn', 0.6, 1.1]",754.0,0.57,0.67,0.62,0.25,0.48,0.75
3,"['spo', 0.6, 1.1]",1490.0,0.27,0.32,0.29,0.48,0.03,0.48
4,"['on', 0.7, 1.0]",754.2±5.27,0.64±0.01,0.51±0.01,0.57±0.01,0.29±0.0,0.45±0.01,0.68±0.0
4,"['cs', 0.7, 1.0]",780.167±20.546,0.6±0.01,0.64±0.01,0.62±0.01,0.25±0.01,0.49±0.01,0.74±0.01
4,"['nn', 0.7, 1.0]",807.0,0.6,0.62,0.61,0.26,0.48,0.73
4,"['spo', 0.7, 1.0]",1518.0,0.26,0.29,0.28,0.49,0.02,0.46
5,"['on', 0.8, 1.4]",628.42±6.36,0.63±0.01,0.55±0.01,0.59±0.01,0.28±0.01,0.46±0.01,0.7±0.01
5,"['cs', 0.8, 1.4]",650.5±7.018,0.5±0.0,0.78±0.0,0.61±0.0,0.24±0.0,0.47±0.0,0.76±0.0
5,"['nn', 0.8, 1.4]",653.0,0.5,0.78,0.61,0.24,0.47,0.76
5,"['spo', 0.8, 1.4]",1423.0,0.27,0.4,0.32,0.48,0.04,0.51
6,"['on', 0.9, 1.1]",715.68±8.44,0.62±0.01,0.61±0.01,0.61±0.01,0.26±0.0,0.49±0.01,0.73±0.0
6,"['cs', 0.9, 1.1]",739.667±12.671,0.57±0.01,0.68±0.01,0.62±0.01,0.25±0.0,0.48±0.01,0.75±0.0
6,"['nn', 0.9, 1.1]",754.0,0.57,0.67,0.62,0.25,0.48,0.75
6,"['spo', 0.9, 1.1]",1490.0,0.27,0.32,0.29,0.48,0.03,0.48
7,"['on', 1.1, 1.3]",649.82±5.96,0.57±0.0,0.68±0.01,0.62±0.0,0.25±0.0,0.48±0.01,0.75±0.0
7,"['cs', 1.1, 1.3]",668.833±8.63,0.52±0.0,0.76±0.01,0.62±0.0,0.24±0.0,0.48±0.0,0.76±0.0
7,"['nn', 1.1, 1.3]",663.0,0.52,0.76,0.62,0.23,0.48,0.77
7,"['spo', 1.1, 1.3]",1440.0,0.27,0.38,0.31,0.48,0.04,0.5
